name,type,rarity,icon_path
Tulaytullah's Remembrance,Catalyst,5,./images/weapon_icons/tulaytullah's_remembrance.png?strip=all&quality=100&w=160
Uraku Misugiri,Sword,5,./images/weapon_icons/uraku_misugiri.png?strip=all&quality=100&w=160
Verdict,Claymore,5,./images/weapon_icons/verdict.png?strip=all&quality=100&w=160
Vivid Notions,Catalyst,5,./images/weapon_icons/vivid_notions.png?strip=all&quality=100&w=160
Vortex Vanquisher,Polearm,5,./images/weapon_icons/vortex_vanquisher.png?strip=all&quality=100&w=160
Wolf's Gravestone,Claymore,5,./images/weapon_icons/wolf's_gravestone.png?strip=all&quality=100&w=160
"""The Catch""",Polearm,4,./images/weapon_icons/the_catch.png?strip=all&quality=100&w=160
"""Ultimate Overlord's Mega Magic Sword""",Claymore,4,./images/weapon_icons/ultimate_overlord's_mega_magic_sword.png?strip=all&quality=100&w=160
Akuoumaru,Claymore,4,./images/weapon_icons/akuoumaru.png?strip=all&quality=100&w=160
Alley Hunter,Bow,4,./images/weapon_icons/alley_hunter.png?strip=all&quality=100&w=160
Amenoma Kageuchi,Sword,4,./images/weapon_icons/amenoma_kageuchi.png?strip=all&quality=100&w=160
Ash-Graven Drinking Horn,Catalyst,4,./images/weapon_icons/ash-graven_drinking_horn.png?strip=all&quality=100&w=160
Ballad of the Boundless Blue,Catalyst,4,./images/weapon_icons/ballad_of_the_boundless_blue.png?strip=all&quality=100&w=160
Ballad of the Fjords,Polearm,4,./images/weapon_icons/ballad_of_the_fjords.png?strip=all&quality=100&w=160
Blackcliff Agate,Catalyst,4,./images/weapon_icons/blackcliff_agate.png?strip=all&quality=100&w=160
Blackcliff Longsword,Sword,4,./images/weapon_icons/blackcliff_longsword.png?strip=all&quality=100&w=160
Blackcliff Pole,Polearm,4,./images/weapon_icons/blackcliff_pole.png?strip=all&quality=100&w=160
Blackcliff Slasher,Claymore,4,./images/weapon_icons/blackcliff_slasher.png?strip=all&quality=100&w=160
Blackcliff Warbow,Bow,4,./images/weapon_icons/blackcliff_warbow.png?strip=all&quality=100&w=160
Blackmarrow Lantern,Catalyst,4,./images/weapon_icons/blackmarrow_lantern.png?strip=all&quality=100&w=160
Calamity of Eshu,Sword,4,./images/weapon_icons/calamity_of_eshu.png?strip=all&quality=100&w=160
Chain Breaker,Bow,4,./images/weapon_icons/chain_breaker.png?strip=all&quality=100&w=160
Cinnabar Spindle,Sword,4,./images/weapon_icons/cinnabar_spindle.png?strip=all&quality=100&w=160
Cloudforged,Bow,4,./images/weapon_icons/cloudforged.png?strip=all&quality=100&w=160
Compound Bow,Bow,4,./images/weapon_icons/compound_bow.png?strip=all&quality=100&w=160
Crescent Pike,Polearm,4,./images/weapon_icons/crescent_pike.png?strip=all&quality=100&w=160
Deathmatch,Polearm,4,./images/weapon_icons/deathmatch.png?strip=all&quality=100&w=160
Dialogues of the Desert Sages,Polearm,4,./images/weapon_icons/dialogues_of_the_desert_sages.png?strip=all&quality=100&w=160
Dodoco Tales,Catalyst,4,./images/weapon_icons/dodoco_tales.png?strip=all&quality=100&w=160
Dragon's Bane,Polearm,4,./images/weapon_icons/dragon's_bane.png?strip=all&quality=100&w=160
Dragonspine Spear,Polearm,4,./images/weapon_icons/dragonspine_spear.png?strip=all&quality=100&w=160
Earth Shaker,Claymore,4,./images/weapon_icons/earth_shaker.png?strip=all&quality=100&w=160
End of the Line,Bow,4,./images/weapon_icons/end_of_the_line.png?strip=all&quality=100&w=160
Etherlight Spindlelute,Catalyst,4,./images/weapon_icons/etherlight_spindlelute.png?strip=all&quality=100&w=160
Eye of Perception,Catalyst,4,./images/weapon_icons/eye_of_perception.png?strip=all&quality=100&w=160
Fading Twilight,Bow,4,./images/weapon_icons/fading_twilight.png?strip=all&quality=100&w=160
Favonius Codex,Catalyst,4,./images/weapon_icons/favonius_codex.png?strip=all&quality=100&w=160
Favonius Greatsword,Claymore,4,./images/weapon_icons/favonius_greatsword.png?strip=all&quality=100&w=160
Favonius Lance,Polearm,4,./images/weapon_icons/favonius_lance.png?strip=all&quality=100&w=160
Favonius Sword,Sword,4,./images/weapon_icons/favonius_sword.png?strip=all&quality=100&w=160
Favonius Warbow,Bow,4,./images/weapon_icons/favonius_warbow.png?strip=all&quality=100&w=160
Festering Desire,Sword,4,./images/weapon_icons/festering_desire.png?strip=all&quality=100&w=160
Finale of the Deep,Sword,4,./images/weapon_icons/finale_of_the_deep.png?strip=all&quality=100&w=160
Flame-Forged Insight,Claymore,4,./images/weapon_icons/flame-forged_insight.png?strip=all&quality=100&w=160
Fleuve Cendre Ferryman,Sword,4,./images/weapon_icons/fleuve_cendre_ferryman.png?strip=all&quality=100&w=160
Flower-Wreathed Feathers,Bow,4,./images/weapon_icons/flower-wreathed_feathers.png?strip=all&quality=100&w=160
Flowing Purity,Catalyst,4,./images/weapon_icons/flowing_purity.png?strip=all&quality=100&w=160
Flute of Ezpitzal,Sword,4,./images/weapon_icons/flute_of_ezpitzal.png?strip=all&quality=100&w=160
Footprint of the Rainbow,Polearm,4,./images/weapon_icons/footprint_of_the_rainbow.png?strip=all&quality=100&w=160
Forest Regalia,Claymore,4,./images/weapon_icons/forest_regalia.png?strip=all&quality=100&w=160
Frostbearer,Catalyst,4,./images/weapon_icons/frostbearer.png?strip=all&quality=100&w=160
Fruit of Fulfillment,Catalyst,4,./images/weapon_icons/fruit_of_fulfillment.png?strip=all&quality=100&w=160
Fruitful Hook,Claymore,4,./images/weapon_icons/fruitful_hook.png?strip=all&quality=100&w=160
Hakushin Ring,Catalyst,4,./images/weapon_icons/hakushin_ring.png?strip=all&quality=100&w=160
Hamayumi,Bow,4,./images/weapon_icons/hamayumi.png?strip=all&quality=100&w=160
Ibis Piercer,Bow,4,./images/weapon_icons/ibis_piercer.png?strip=all&quality=100&w=160
Iron Sting,Sword,4,./images/weapon_icons/iron_sting.png?strip=all&quality=100&w=160
Kagotsurube Isshin,Sword,4,./images/weapon_icons/kagotsurube_isshin.png?strip=all&quality=100&w=160
Katsuragikiri Nagamasa,Claymore,4,./images/weapon_icons/katsuragikiri_nagamasa.png?strip=all&quality=100&w=160
King's Squire,Bow,4,./images/weapon_icons/king's_squire.png?strip=all&quality=100&w=160
Kitain Cross Spear,Polearm,4,./images/weapon_icons/kitain_cross_spear.png?strip=all&quality=100&w=160
Lion's Roar,Sword,4,./images/weapon_icons/lion's_roar.png?strip=all&quality=100&w=160
Lithic Blade,Claymore,4,./images/weapon_icons/lithic_blade.png?strip=all&quality=100&w=160
Lithic Spear,Polearm,4,./images/weapon_icons/lithic_spear.png?strip=all&quality=100&w=160
Luxurious Sea-Lord,Claymore,4,./images/weapon_icons/luxurious_sea-lord.png?strip=all&quality=100&w=160
Mailed Flower,Claymore,4,./images/weapon_icons/mailed_flower.png?strip=all&quality=100&w=160
Makhaira Aquamarine,Claymore,4,./images/weapon_icons/makhaira_aquamarine.png?strip=all&quality=100&w=160
Mappa Mare,Catalyst,4,./images/weapon_icons/mappa_mare.png?strip=all&quality=100&w=160
Master Key,Claymore,4,./images/weapon_icons/master_key.png?strip=all&quality=100&w=160
Missive Windspear,Polearm,4,./images/weapon_icons/missive_windspear.png?strip=all&quality=100&w=160
Mitternachts Waltz,Bow,4,./images/weapon_icons/mitternachts_waltz.png?strip=all&quality=100&w=160
Moonpiercer,Polearm,4,./images/weapon_icons/moonpiercer.png?strip=all&quality=100&w=160
Moonweaver's Dawn,Sword,4,./images/weapon_icons/moonweaver's_dawn.png?strip=all&quality=100&w=160
Mountain-Bracing Bolt,Polearm,4,./images/weapon_icons/mountain-bracing_bolt.png?strip=all&quality=100&w=160
Mouun's Moon,Bow,4,./images/weapon_icons/mouun's_moon.png?strip=all&quality=100&w=160
Oathsworn Eye,Catalyst,4,./images/weapon_icons/oathsworn_eye.png?strip=all&quality=100&w=160
Portable Power Saw,Claymore,4,./images/weapon_icons/portable_power_saw.png?strip=all&quality=100&w=160
Predator,Bow,4,./images/weapon_icons/predator.png?strip=all&quality=100&w=160
Prospector's Drill,Polearm,4,./images/weapon_icons/prospector's_drill.png?strip=all&quality=100&w=160
Prospector's Shovel,Polearm,4,./images/weapon_icons/prospector's_shovel.png?strip=all&quality=100&w=160
Prototype Amber,Catalyst,4,./images/weapon_icons/prototype_amber.png?strip=all&quality=100&w=160
Prototype Archaic,Claymore,4,./images/weapon_icons/prototype_archaic.png?strip=all&quality=100&w=160
Prototype Crescent,Bow,4,./images/weapon_icons/prototype_crescent.png?strip=all&quality=100&w=160
Prototype Rancour,Sword,4,./images/weapon_icons/prototype_rancour.png?strip=all&quality=100&w=160
Prototype Starglitter,Polearm,4,./images/weapon_icons/prototype_starglitter.png?strip=all&quality=100&w=160
Rainslasher,Claymore,4,./images/weapon_icons/rainslasher.png?strip=all&quality=100&w=160
Range Gauge,Bow,4,./images/weapon_icons/range_gauge.png?strip=all&quality=100&w=160
Rightful Reward,Polearm,4,./images/weapon_icons/rightful_reward.png?strip=all&quality=100&w=160
Ring of Yaxche,Catalyst,4,./images/weapon_icons/ring_of_yaxche.png?strip=all&quality=100&w=160
Royal Bow,Bow,4,./images/weapon_icons/royal_bow.png?strip=all&quality=100&w=160
Royal Greatsword,Claymore,4,./images/weapon_icons/royal_greatsword.png?strip=all&quality=100&w=160
Royal Grimoire,Catalyst,4,./images/weapon_icons/royal_grimoire.png?strip=all&quality=100&w=160
Royal Longsword,Sword,4,./images/weapon_icons/royal_longsword.png?strip=all&quality=100&w=160
Royal Spear,Polearm,4,./images/weapon_icons/royal_spear.png?strip=all&quality=100&w=160
Rust,Bow,4,./images/weapon_icons/rust.png?strip=all&quality=100&w=160
Sacrificial Bow,Bow,4,./images/weapon_icons/sacrificial_bow.png?strip=all&quality=100&w=160
Sacrificial Fragments,Catalyst,4,./images/weapon_icons/sacrificial_fragments.png?strip=all&quality=100&w=160
Sacrificial Greatsword,Claymore,4,./images/weapon_icons/sacrificial_greatsword.png?strip=all&quality=100&w=160
Sacrificial Jade,Catalyst,4,./images/weapon_icons/sacrificial_jade.png?strip=all&quality=100&w=160
Sacrificial Sword,Sword,4,./images/weapon_icons/sacrificial_sword.png?strip=all&quality=100&w=160
Sapwood Blade,Sword,4,./images/weapon_icons/sapwood_blade.png?strip=all&quality=100&w=160
Scion of the Blazing Sun,Bow,4,./images/weapon_icons/scion_of_the_blazing_sun.png?strip=all&quality=100&w=160
Sequence of Solitude,Bow,4,./images/weapon_icons/sequence_of_solitude.png?strip=all&quality=100&w=160
Serenity's Call,Sword,4,./images/weapon_icons/serenity's_call.png?strip=all&quality=100&w=160
Serpent Spine,Claymore,4,./images/weapon_icons/serpent_spine.png?strip=all&quality=100&w=160
Snare Hook,Bow,4,./images/weapon_icons/snare_hook.png?strip=all&quality=100&w=160
Snow-Tombed Starsilver,Claymore,4,./images/weapon_icons/snow-tombed_starsilver.png?strip=all&quality=100&w=160
Solar Pearl,Catalyst,4,./images/weapon_icons/solar_pearl.png?strip=all&quality=100&w=160
Song of Stillness,Bow,4,./images/weapon_icons/song_of_stillness.png?strip=all&quality=100&w=160
Sturdy Bone,Sword,4,./images/weapon_icons/sturdy_bone.png?strip=all&quality=100&w=160
Sword of Descension,Sword,4,./images/weapon_icons/sword_of_descension.png?strip=all&quality=100&w=160
Sword of Narzissenkreuz,Sword,4,./images/weapon_icons/sword_of_narzissenkreuz.png?strip=all&quality=100&w=160
Talking Stick,Claymore,4,./images/weapon_icons/talking_stick.png?strip=all&quality=100&w=160
Tamayuratei no Ohanashi,Polearm,4,./images/weapon_icons/tamayuratei_no_ohanashi.png?strip=all&quality=100&w=160
The Alley Flash,Sword,4,./images/weapon_icons/the_alley_flash.png?strip=all&quality=100&w=160
The Bell,Claymore,4,./images/weapon_icons/the_bell.png?strip=all&quality=100&w=160
The Black Sword,Sword,4,./images/weapon_icons/the_black_sword.png?strip=all&quality=100&w=160
The Dockhand's Assistant,Sword,4,./images/weapon_icons/the_dockhand's_assistant.png?strip=all&quality=100&w=160
The Flute,Sword,4,./images/weapon_icons/the_flute.png?strip=all&quality=100&w=160
The Stringless,Bow,4,./images/weapon_icons/the_stringless.png?strip=all&quality=100&w=160
The Viridescent Hunt,Bow,4,./images/weapon_icons/the_viridescent_hunt.png?strip=all&quality=100&w=160
The Widsith,Catalyst,4,./images/weapon_icons/the_widsith.png?strip=all&quality=100&w=160
Tidal Shadow,Claymore,4,./images/weapon_icons/tidal_shadow.png?strip=all&quality=100&w=160
Toukabou Shigure,Sword,4,./images/weapon_icons/toukabou_shigure.png?strip=all&quality=100&w=160
Wandering Evenstar,Catalyst,4,./images/weapon_icons/wandering_evenstar.png?strip=all&quality=100&w=160
Wavebreaker's Fin,Polearm,4,./images/weapon_icons/wavebreaker's_fin.png?strip=all&quality=100&w=160
Waveriding Whirl,Catalyst,4,./images/weapon_icons/waveriding_whirl.png?strip=all&quality=100&w=160
Whiteblind,Claymore,4,./images/weapon_icons/whiteblind.png?strip=all&quality=100&w=160
Windblume Ode,Bow,4,./images/weapon_icons/windblume_ode.png?strip=all&quality=100&w=160
Wine and Song,Catalyst,4,./images/weapon_icons/wine_and_song.png?strip=all&quality=100&w=160
Wolf-Fang,Sword,4,./images/weapon_icons/wolf-fang.png?strip=all&quality=100&w=160
Xiphos' Moonlight,Sword,4,./images/weapon_icons/xiphos'_moonlight.png?strip=all&quality=100&w=160
Black Tassel,Polearm,3,./images/weapon_icons/black_tassel.png?strip=all&quality=100&w=160
Bloodtainted Greatsword,Claymore,3,./images/weapon_icons/bloodtainted_greatsword.png?strip=all&quality=100&w=160
Cool Steel,Sword,3,./images/weapon_icons/cool_steel.png?strip=all&quality=100&w=160
Dark Iron Sword,Sword,3,./images/weapon_icons/dark_iron_sword.png?strip=all&quality=100&w=160
Debate Club,Claymore,3,./images/weapon_icons/debate_club.png?strip=all&quality=100&w=160
Emerald Orb,Catalyst,3,./images/weapon_icons/emerald_orb.png?strip=all&quality=100&w=160
Ferrous Shadow,Claymore,3,./images/weapon_icons/ferrous_shadow.png?strip=all&quality=100&w=160
Fillet Blade,Sword,3,./images/weapon_icons/fillet_blade.png?strip=all&quality=100&w=160
Halberd,Polearm,3,./images/weapon_icons/halberd.png?strip=all&quality=100&w=160
Harbinger of Dawn,Sword,3,./images/weapon_icons/harbinger_of_dawn.png?strip=all&quality=100&w=160
Magic Guide,Catalyst,3,./images/weapon_icons/magic_guide.png?strip=all&quality=100&w=160
Messenger,Bow,3,./images/weapon_icons/messenger.png?strip=all&quality=100&w=160
Otherworldly Story,Catalyst,3,./images/weapon_icons/otherworldly_story.png?strip=all&quality=100&w=160
Raven Bow,Bow,3,./images/weapon_icons/raven_bow.png?strip=all&quality=100&w=160
Recurve Bow,Bow,3,./images/weapon_icons/recurve_bow.png?strip=all&quality=100&w=160
Sharpshooter's Oath,Bow,3,./images/weapon_icons/sharpshooter's_oath.png?strip=all&quality=100&w=160
Skyrider Greatsword,Claymore,3,./images/weapon_icons/skyrider_greatsword.png?strip=all&quality=100&w=160
Skyrider Sword,Sword,3,./images/weapon_icons/skyrider_sword.png?strip=all&quality=100&w=160
Slingshot,Bow,3,./images/weapon_icons/slingshot.png?strip=all&quality=100&w=160
Thrilling Tales of Dragon Slayers,Catalyst,3,./images/weapon_icons/thrilling_tales_of_dragon_slayers.png?strip=all&quality=100&w=160
Traveler's Handy Sword,Sword,3,./images/weapon_icons/traveler's_handy_sword.png?strip=all&quality=100&w=160
Twin Nephrite,Catalyst,3,./images/weapon_icons/twin_nephrite.png?strip=all&quality=100&w=160
White Iron Greatsword,Claymore,3,./images/weapon_icons/white_iron_greatsword.png?strip=all&quality=100&w=160
White Tassel,Polearm,3,./images/weapon_icons/white_tassel.png?strip=all&quality=100&w=160
Iron Point,Polearm,2,./images/weapon_icons/iron_point.png?strip=all&quality=100&w=160
Old Merc's Pal,Claymore,2,./images/weapon_icons/old_merc's_pal.png?strip=all&quality=100&w=160
Pocket Grimoire,Catalyst,2,./images/weapon_icons/pocket_grimoire.png?strip=all&quality=100&w=160
Seasoned Hunter's Bow,Bow,2,./images/weapon_icons/seasoned_hunter's_bow.png?strip=all&quality=100&w=160
Silver Sword,Sword,2,./images/weapon_icons/silver_sword.png?strip=all&quality=100&w=160
Apprentice's Notes,Catalyst,1,./images/weapon_icons/apprentice's_notes.png?strip=all&quality=100&w=160
Beginner's Protector,Polearm,1,./images/weapon_icons/beginner's_protector.png?strip=all&quality=100&w=160
Dull Blade,Sword,1,./images/weapon_icons/dull_blade.png?strip=all&quality=100&w=160
Hunter's Bow,Bow,1,./images/weapon_icons/hunter's_bow.png?strip=all&quality=100&w=160
Waster Greatsword,Claymore,1,./images/weapon_icons/waster_greatsword.png?strip=all&quality=100&w=160
